action,assetClass,cleared,customBasketIndicator,deliveryType,disseminationIdentifier,disseminationTimestamp,effectiveDate,event,eventDateTime,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,nonStandardTermIndicator,packageIndicator,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productName,sDRreceiptTimestamp,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,leg2ResetFrequencyPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
NEWT,IR,Y,False,CASH,SDRIR78732711,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,160000000,USD,Constant,EUR,Fixed-Floating,A004,160000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.01453,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,0,1,160000000.0,12706650.192281934,27105544.573713474,20410.931505266577
NEWT,IR,Y,False,CASH,SDRIR78732712,2023-01-31T14:24:20Z,2023-03-22,TRAD,2023-01-30T15:55:56Z,2023-01-30T15:55:56Z,2023-05-03,Swap,A004,A004,4000000000,EUR,Constant,USD,OIS,A004,4000000000,USD,Constant,1,USD,,False,,False,,OIS USD broken,2023-01-31T14:24:20Z,0.04804,1,DAIL,1,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2,MNTH,DAIL,0,1,4200000000.0,198893100.72116238,230511473.12348375,427919.2510254979
NEWT,IR,Y,False,CASH,SDRIR78732713,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,180000000,GBP,Constant,EUR,Fixed-Floating,A004,180000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.01448,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,0,1,219600000.0,14249202.038645666,30493737.645427655,22962.297943424433
NEWT,IR,Y,False,CASH,SDRIR78732714,2023-01-31T14:24:20Z,2052-04-15,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,A001,120000000,GBP,Constant,EUR,Fixed-Floating,A004,120000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 20Y,2023-01-31T14:24:20Z,0.00877,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH,0,1,146400000.0,8359333.6679848945,23395739.923335142,6195.052541576326
NEWT,IR,Y,False,CASH,SDRIR78748084,2023-02-02T10:14:20Z,2041-11-18,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2051-11-18,Swap,A001,A001,12000000,USD,Constant,EUR,Fixed-Floating,A004,12000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-02-02T10:14:20Z,0.01077,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,0,1,12000000.0,718814.3126289726,2031556.9220680997,1526.0312936066184
NEWT,IR,Y,False,CASH,SDRIR78748085,2023-02-02T10:14:20Z,2042-03-14,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2052-03-14,Swap,A001,A001,78000000,USD,Constant,EUR,Fixed-Floating,A004,78000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-02-02T10:14:20Z,0.0023,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,0,1,78000000.0,1028667.4882904546,13059285.558336265,9407.683765303344
NEWT,IR,Y,False,CASH,SDRIR78748096,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,A001,78000000,GBP,Constant,EUR,Fixed-Floating,A004,78000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 20Y,2023-02-02T10:14:20Z,0.00907,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH,0,1,95160000.0,5603284.446648484,15207230.95016784,4026.7841520216316
NEWT,IR,Y,False,CASH,SDRIR78748097,2023-02-02T10:14:20Z,2040-12-19,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2050-12-19,Swap,A001,A001,130000000,USD,Constant,EUR,Fixed-Floating,A004,130000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-02-02T10:14:20Z,0.014995,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,0,1,130000000.0,10941460.967238044,22871479.92524542,18507.924951322377
NEWT,IR,Y,False,CASH,SDRIR78748098,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,A001,78000000,GBP,Constant,EUR,Fixed-Floating,A004,78000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 20Y,2023-02-02T10:14:20Z,0.00907,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH,0,1,95160000.0,5603284.446648484,15207230.95016784,4026.7841520216316
NEWT,IR,Y,False,CASH,SDRIR78748099,2023-02-02T10:14:20Z,2023-02-01,TRAD,2023-02-01T12:17:01Z,2023-02-01T12:17:01Z,2023-03-22,Swap,A004,A004,1000000000,EUR,Constant,USD,OIS,A004,1000000000,USD,Constant,1,USD,,False,,False,,OIS USD broken,2023-02-02T10:14:20Z,0.045985,1,DAIL,1,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1,MNTH,DAIL,0,1,1050000000.0,95722405.3366293,115856363.12955028,216129.7676550001
NEWT,IR,Y,False,CASH,SDRIR78748100,2023-02-02T10:14:20Z,2023-03-22,TRAD,2023-02-01T14:37:41Z,2023-02-01T14:37:41Z,2023-05-03,Swap,A004,A004,1000000000,GBP,Constant,USD,OIS,A004,1000000000,USD,Constant,1,USD,,False,,False,,OIS USD broken,2023-02-02T10:14:20Z,0.04799,1,DAIL,1,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2,MNTH,DAIL,0,1,1220000000.0,49671523.2286042,57627868.28087094,106979.81275637448
NEWT,IR,Y,False,CASH,SDRIR78748101,2023-02-02T10:14:20Z,2023-02-03,TRAD,2023-02-01T21:30:36Z,2023-02-01T21:30:36Z,2024-02-03,Swap,A004,A004,39000000,EUR,Constant,USD,OIS,A004,39000000,USD,Constant,1,USD,,False,,False,,OIS USD 1y,2023-02-02T10:14:20Z,0.048067,1,YEAR,1,YEAR,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1,YEAR,YEAR,0,1,40950000.0,3818154.4549406273,4455828.413626904,8030.587845778093
NEWT,IR,Y,False,CASH,SDRIR78757051,2023-02-03T09:49:20Z,2023-02-02,TRAD,2023-02-02T14:06:20Z,2023-02-02T14:06:20Z,2023-03-23,Swap,A005,A005,280000000,EUR,Constant,GBP,OIS,A005,280000000,GBP,Constant,1,GBP,,False,,False,,OIS GBP broken,2023-02-03T09:49:20Z,0.03883,1,DAIL,1,DAIL,GBP,GBP-SONIA-OIS Compound,OIS Compound,1,MNTH,DAIL,0,1,294000000.0,22613034.592698466,31643168.425163575,60394.26679897681
