action,assetClass,cleared,customBasketIndicator,deliveryType,disseminationIdentifier,disseminationTimestamp,effectiveDate,event,eventDateTime,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,nonStandardTermIndicator,packageIndicator,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productName,sDRreceiptTimestamp,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,leg2ResetFrequencyPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
NEWT,IR,Y,False,CASH,SDRIR78732711,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,1600.0,EUR,Constant,EUR,Fixed-Floating,A004,160000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.01453,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,1,0,1680.0,127.06650192281934,271.05544573713473,0.20410931505261942
NEWT,IR,Y,False,CASH,SDRIR78732712,2023-01-31T14:24:20Z,2023-03-22,TRAD,2023-01-30T15:55:56Z,2023-01-30T15:55:56Z,2023-05-03,Swap,A004,A004,40000.0,USD,Constant,USD,OIS,A004,4000000000,USD,Constant,1,USD,,False,,False,,OIS USD broken,2023-01-31T14:24:20Z,0.04804,1,DAIL,1,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2,MNTH,DAIL,1,0,40000.0,1988.9310072116236,2305.1147312348376,4.279192510254688
NEWT,IR,Y,False,CASH,SDRIR78732713,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,180000.0,EUR,Constant,EUR,Fixed-Floating,A004,180000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-01-31T14:24:20Z,0.01448,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,1,0,189000.0,14249.202038645668,30493.73764542766,22.962297943424346
NEWT,IR,Y,False,CASH,SDRIR78732714,2023-01-31T14:24:20Z,2052-04-15,TRAD,2023-01-30T17:34:24Z,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,A001,900000000.0,EUR,Constant,EUR,Fixed-Floating,A004,120000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 20Y,2023-01-31T14:24:20Z,0.00877,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH,1,0,945000000.0,62695002.509886704,175468049.42501348,46462.89406174421
NEWT,IR,Y,False,CASH,SDRIR78748084,2023-02-02T10:14:20Z,2041-11-18,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2051-11-18,Swap,A001,A001,812000000.0,EUR,Constant,EUR,Fixed-Floating,A004,12000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-02-02T10:14:20Z,0.01077,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,1,0,852600000.0,48639768.48789381,137468685.0599414,103261.45086738467
NEWT,IR,Y,False,CASH,SDRIR78748085,2023-02-02T10:14:20Z,2042-03-14,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2052-03-14,Swap,A001,A001,93978000000.0,EUR,Constant,EUR,Fixed-Floating,A004,78000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-02-02T10:14:20Z,0.0023,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,1,0,98676900000.0,1239386066.8533378,15734429976.940075,11334811.601222992
NEWT,IR,Y,False,CASH,SDRIR78748096,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,A001,780.0,EUR,Constant,EUR,Fixed-Floating,A004,78000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 20Y,2023-02-02T10:14:20Z,0.00907,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH,1,0,819.0,56.03284446648483,152.0723095016784,0.040267841520204684
NEWT,IR,Y,False,CASH,SDRIR78748097,2023-02-02T10:14:20Z,2040-12-19,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2050-12-19,Swap,A001,A001,139330000000.0,EUR,Constant,EUR,Fixed-Floating,A004,130000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 10Y,2023-02-02T10:14:20Z,0.014995,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,10,YEAR,MNTH,1,0,146296500000.0,11726721204.348284,24512948446.03419,19836224.48820877
NEWT,IR,Y,False,CASH,SDRIR78748098,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,A001,7800.0,EUR,Constant,EUR,Fixed-Floating,A004,78000000,EUR,Constant,6,EUR,,False,,False,,IRS EUR 20Y,2023-02-02T10:14:20Z,0.00907,1,YEAR,6,MNTH,EUR,EUR-EURIBOR,EURIBOR,20,YEAR,MNTH,1,0,8190.0,560.3284446648483,1520.723095016784,0.40267841520221737
NEWT,IR,Y,False,CASH,SDRIR78748099,2023-02-02T10:14:20Z,2023-02-01,TRAD,2023-02-01T12:17:01Z,2023-02-01T12:17:01Z,2023-03-22,Swap,A004,A004,100000.0,USD,Constant,USD,OIS,A004,1000000000,USD,Constant,1,USD,,False,,False,,OIS USD broken,2023-02-02T10:14:20Z,0.045985,1,DAIL,1,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,1,MNTH,DAIL,1,0,100000.0,9572.240533662929,11585.636312955028,21.612976765498388
