assetClass,blockTradeIndicator,cleared,customBasketIndicator,deliveryType,disseminationTimestamp,effectiveDate,event,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2SettlementCurrency,packageIndicator,postPricedSwapIndicator,primeBrokerageTransactionIndicator,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2UnderlierID,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2023-03-09,TRAD,2023-01-30T21:30:11Z,2050-04-13,Swap,A005,2000000000,CAD,Constant,CAD,OIS,2000000000,CAD,Constant,CAD,False,False,,0.0451,1,DAIL,CAD-CORRA-OIS Compound,1,MNTH,1,1,1440000000,185563711.2,168319778.0,423000.9953
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2041-11-11,Swap,A001,41000000,EUR,Constant,EUR,Fixed-Floating,41000000,EUR,Constant,EUR,False,False,,0.0145504,1,YEAR,EUR-EURIBOR,10,YEAR,1,1,43050000,3269376.57,6965064.108,5298.291042
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2052-04-15,TRAD,2023-01-30T17:34:24Z,2053-04-15,Swap,A001,25000000,EUR,Constant,EUR,Fixed-Floating,25000000,EUR,Constant,EUR,False,False,,0.0088504,1,YEAR,EUR-EURIBOR,20,YEAR,1,1,26250000,1760489.144,4886190.053,1256.214486
IR,,Y,False,CASH,2023-02-01T12:53:20Z,2023-03-22,TRAD,2023-01-31T19:09:37Z,2080-05-03,Swap,A004,4000000000,USD,Constant,USD,OIS,4000000000,USD,Constant,USD,False,False,,0.048585,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,4000000000,202017279.3,231505939.2,431510.8798
IR,,Y,False,CASH,2023-02-01T12:53:20Z,2028-02-02,TRAD,2023-01-31T16:28:00Z,2050-02-02,Swap,A001,280000000,EUR,Constant,EUR,Fixed-Floating,280000000,EUR,Constant,EUR,False,False,,0.0271,1,YEAR,EUR-EURIBOR,2,YEAR,1,1,294000000,19277899.97,23942479.5,58757.24062
IR,,Y,False,CASH,2023-02-02T10:14:20Z,2023-01-18,TRAD,2023-02-01T21:30:36Z,2060-01-18,Swap,A004,15000000,USD,Constant,USD,OIS,15000000,USD,Constant,USD,False,False,,0.04846,1,YEAR,USD-Federal Funds-H.15-OIS-COMPOUND,1,YEAR,1,1,15000000,1490177.958,1706391.768,3129.774046
IR,,Y,False,CASH,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,14000000,EUR,Constant,EUR,Fixed-Floating,14000000,EUR,Constant,EUR,False,False,,0.00549,1,YEAR,EUR-EURIBOR,20,YEAR,1,1,14700000,631756.3167,2736266.429,703.4801121
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000,301217181.3,347258908.8,647266.3198
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000,301217181.3,347258908.8,647266.3198
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000,301217181.3,347258908.8,647266.3198
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.0482875,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000,301170403.6,347258908.8,647266.3198
IR,False,N,False,CASH,2023-07-20T12:26:40Z,2022-06-15,TRAD,2023-07-18T11:23:57Z,2052-06-15,Swap,A001,31000000,EUR,Constant,EUR,Fixed-Floating,31000000,EUR,Constant,EUR,False,False,False,0.02627,1,YEAR,EUR-EURIBOR,30,YEAR,1,1,32550000,18643050.58,22377098.59,40299.88018
IR,False,N,False,CASH,02/09/2018 00:00:00,2019-02-19,New Trade,02/09/2018 00:00:00,2019-03-19,Swap,ACT/360,5000000000,USD,Constant,USD,Fixed-Floating,5000000000,USD,Constant,USD,False,False,False,0.02024,1,MNTH,USD-LIBOR-BBA,1,MNTH,1,1,5000000000,262355638.9,720755156.9,1620461.775
