assetClass,blockTradeIndicator,cleared,customBasketIndicator,deliveryType,disseminationTimestamp,effectiveDate,event,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2SettlementCurrency,packageIndicator,postPricedSwapIndicator,primeBrokerageTransactionIndicator,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2UnderlierID,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,812000000.0,EUR,Constant,EUR,Fixed-Floating,41000000,EUR,Constant,EUR,False,False,,0.0145504,1,YEAR,EUR-EURIBOR,10,YEAR,1,0,852600000.0,64749604.2639312,137942245.26588085,104932.0079484284
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2052-04-15,TRAD,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,93978000000.0,EUR,Constant,EUR,Fixed-Floating,25000000,EUR,Constant,EUR,False,False,,0.0088504,1,YEAR,EUR-EURIBOR,20,YEAR,1,0,98676900000.0,6617889952.070398,18367774750.450417,4722260.998283386
IR,,Y,False,CASH,2023-02-01T12:53:20Z,2023-03-22,TRAD,2023-01-31T19:09:37Z,2023-05-03,Swap,A004,200000000000.0,USD,Constant,USD,OIS,4000000000,USD,Constant,USD,False,False,,0.048585,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,0,200000000000.0,10100863962.99528,11575296961.360262,21575543.992153168
IR,,Y,False,CASH,2023-02-01T12:53:20Z,2027-02-02,TRAD,2023-01-31T16:28:00Z,2028-02-02,Swap,A001,55000320000.0,EUR,Constant,EUR,Fixed-Floating,500000000,EUR,Constant,EUR,False,False,,0.02665,1,YEAR,EUR-EURIBOR,1,YEAR,1,0,57750336000.0,2594486212.6111,3362300033.3882294,8510318.411067009
IR,,Y,False,CASH,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,14000000.0,EUR,Constant,EUR,Fixed-Floating,14000000,EUR,Constant,EUR,False,False,,0.00549,1,YEAR,EUR-EURIBOR,20,YEAR,1,1,14700000.0,631756.3166730634,2736266.4294441864,703.4801121107303
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000.0,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301217181.28611124,347258908.84080786,647266.3197646141
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000.0,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301217181.28611124,347258908.84080786,647266.3197646141
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000.0,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301217181.28611124,347258908.84080786,647266.3197646141
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000.0,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.0482875,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301170403.5894626,347258908.84080786,647266.3197646141
IR,False,N,False,CASH,2023-07-20T12:26:40Z,2022-06-15,TRAD,2023-07-18T11:23:57Z,2052-06-15,Swap,A001,31000000.0,EUR,Constant,EUR,Fixed-Floating,31000000,EUR,Constant,EUR,False,False,False,0.02627,1,YEAR,EUR-EURIBOR,30,YEAR,1,1,32550000.0,18643050.58396411,22377098.58575328,40299.88017670438
