assetClass,blockTradeIndicator,cleared,customBasketIndicator,deliveryType,disseminationTimestamp,effectiveDate,event,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2SettlementCurrency,packageIndicator,postPricedSwapIndicator,primeBrokerageTransactionIndicator,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2UnderlierID,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2023-05-03,TRAD,2023-01-30T03:38:00Z,2023-06-07,Swap,A005,750000000,AUD,Constant,AUD,OIS,750000000,AUD,Constant,AUD,False,False,,0.037,1,DAIL,AUD-AONIA-OIS Compound,1,MNTH,1,1,480000000.0,20033680900.91903,85758833.10956421,159123.3816356361
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2041-11-11,TRAD,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,41000000,EUR,Constant,EUR,Fixed-Floating,41000000,EUR,Constant,EUR,False,False,,0.0145504,1,YEAR,EUR-EURIBOR,10,YEAR,1,1,43050000.0,4577.127197967551,6965064.1082526045,5298.291041731834
IR,,Y,False,CASH,2023-01-31T14:24:20Z,2052-04-15,TRAD,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,25000000,EUR,Constant,EUR,Fixed-Floating,25000000,EUR,Constant,EUR,False,False,,0.0088504,1,YEAR,EUR-EURIBOR,20,YEAR,1,1,26250000.0,528146743.2859605,4886190.052578905,1256.2144859116524
IR,,Y,False,CASH,2023-02-01T12:53:20Z,2028-02-02,TRAD,2023-01-31T16:28:00Z,2030-02-02,Swap,A001,280000000,EUR,Constant,EUR,Fixed-Floating,280000000,EUR,Constant,EUR,False,False,,0.0271,1,YEAR,EUR-EURIBOR,2,YEAR,1,1,294000000.0,8867833985.562672,23942479.497029416,58757.240623652935
IR,,Y,False,CASH,2023-02-02T10:14:20Z,2052-04-15,TRAD,2023-02-01T13:42:43Z,2072-04-15,Swap,A001,14000000,EUR,Constant,EUR,Fixed-Floating,14000000,EUR,Constant,EUR,False,False,,0.00549,1,YEAR,EUR-EURIBOR,20,YEAR,1,1,14700000.0,631756.3166730634,2736266.4294441864,703.4801121107303
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301217181.28611124,347258908.84080786,647266.3197646141
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301217181.28611124,347258908.84080786,647266.3197646141
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.048295,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301217181.28611124,347258908.84080786,647266.3197646141
IR,,Y,False,CASH,2023-02-07T16:12:32Z,2023-03-22,TRAD,2023-02-06T12:53:19Z,2023-05-03,Swap,A004,6000000000,USD,Constant,USD,OIS,6000000000,USD,Constant,USD,False,False,,0.0482875,1,DAIL,USD-Federal Funds-H.15-OIS-COMPOUND,2,MNTH,1,1,6000000000.0,301170403.5894626,347258908.84080786,647266.3197646141
IR,False,N,False,CASH,2023-07-20T12:26:40Z,2022-06-15,TRAD,2023-07-18T11:23:57Z,2052-06-15,Swap,A001,31000000,EUR,Constant,EUR,Fixed-Floating,31000000,EUR,Constant,EUR,False,False,False,0.02627,1,YEAR,EUR-EURIBOR,30,YEAR,1,1,32550000.0,18643050.58396411,22377098.58575328,40299.88017670438
IR,False,N,False,CASH,02/09/2018 00:00:00,2019-02-19,New Trade,02/09/2018 00:00:00,2019-03-19,Swap,ACT/360,5000000000,USD,Constant,USD,Fixed-Floating,5000000000,USD,Constant,USD,False,False,False,0.02024,1,MNTH,USD-LIBOR-BBA,1,MNTH,1,1,5000000000.0,262355638.85928103,720755156.8587255,1620461.7751379013
