action,assetClass,cleared,customBasketIndicator,deliveryType,effectiveDate,event,executionDateTime,expirationDate,instrumentType,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalScheduleType,leg1SettlementCurrency,leg1UnderlyingAssetOrContractType,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalScheduleType,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,nonStandardTermIndicator,packageIndicator,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productName,leg1FixedRate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,leg2ResetFrequencyPeriod,CurrencyIV,NominalIV,leg1NotionalAmountUSD,MtM_leg1,MtM_leg2,total_delta
NEWT,IR,Y,False,CASH,2041-11-11,TRAD,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,1600.0,EUR,Constant,EUR,Fixed-Floating,A004,160000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 10Y,0.01453,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,10.0,YEAR,MNTH,1.0,0.0,1680.0,0.5732759491867315,271.7554554081238,0.2065791715469345
NEWT,IR,Y,False,CASH,2023-03-22,TRAD,2023-01-30T15:55:56Z,2023-05-03,Swap,A004,A004,40000.0,USD,Constant,USD,OIS,A004,4000000000.0,USD,Constant,1.0,USD,,False,,False,,OIS USD broken,0.04804,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2.0,MNTH,DAIL,1.0,0.0,40000.0,4.792604750079866,2314.372178307979,4.31262443165906
NEWT,IR,Y,False,CASH,2041-11-11,TRAD,2023-01-30T17:34:24Z,2051-11-11,Swap,A001,A001,180000.0,EUR,Constant,EUR,Fixed-Floating,A004,180000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 10Y,0.01448,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,10.0,YEAR,MNTH,1.0,0.0,189000.0,15.714601182618534,30572.488733413924,23.24015679904187
NEWT,IR,Y,False,CASH,2052-04-15,TRAD,2023-01-30T17:34:24Z,2072-04-15,Swap,A001,A001,900000000.0,EUR,Constant,EUR,Fixed-Floating,A004,120000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 20Y,0.00877,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,20.0,YEAR,MNTH,1.0,0.0,945000000.0,169666.99625921782,175872821.647244,45309.3880444169
NEWT,IR,Y,False,CASH,2041-11-18,TRAD,2023-02-01T13:42:43Z,2051-11-18,Swap,A001,A001,812000000.0,EUR,Constant,EUR,Fixed-Floating,A004,12000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 10Y,0.01077,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,10.0,YEAR,MNTH,1.0,0.0,852600000.0,165802.2998263346,137823702.4946157,104513.40534433722
NEWT,IR,Y,False,CASH,2042-03-14,TRAD,2023-02-01T13:42:43Z,2052-03-14,Swap,A001,A001,93978000000.0,EUR,Constant,EUR,Fixed-Floating,A004,78000000.0,EUR,Constant,6.0,EUR,,False,,False,,IRS EUR 10Y,0.0023,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,10.0,YEAR,MNTH,1.0,0.0,98676900000.0,5094605.972013803,15775064663.771044,11476853.930599213
CORR,IR,N,False,CASH,2023-02-02,,2023-01-03T15:56:58Z,2023-03-23,Swap,A005,A005,200001000000.0,GBP,Constant,GBP,OIS,A005,2000000000.0,GBP,Constant,1.0,GBP,False,False,XXXX,False,False,OIS GBP broken,0.03876,1.0,DAIL,1.0,DAIL,GBP,GBP-SONIA-OIS Compound,OIS Compound,1.0,MNTH,DAIL,1.0,0.0,244001220000.0,6474574.561037424,22691064079.77031,43467741.25884628
CORR,IR,N,False,CASH,2025-01-13,,2023-01-11T10:38:48Z,2026-01-13,Swap,A005,A005,55000320000.0,GBP,Constant,GBP,OIS,A005,550000000.0,GBP,Constant,1.0,GBP,False,False,XXXX,False,False,OIS GBP 1y,0.03593,1.0,YEAR,1.0,YEAR,GBP,GBP-SONIA-OIS Compound,OIS Compound,1.0,YEAR,YEAR,1.0,0.0,67100390400.0,8415014.285184752,5498535420.804983,9263522.412287712
CORR,IR,N,False,CASH,2023-06-21,,2023-01-11T13:43:36Z,2043-06-21,Swap,A001,A001,9000000.0,EUR,Constant,EUR,Fixed-Floating,A004,9000000.0,EUR,Constant,6.0,EUR,False,False,XXXX,False,False,IRS EUR 20Y,0.02602,1.0,YEAR,6.0,MNTH,EUR,EUR-EURIBOR,EURIBOR,20.0,YEAR,MNTH,1.0,1.0,9450000.0,784.1436216025,4945062.707052541,9911.726022762246
CORR,IR,N,False,CASH,2023-09-20,,2023-01-11T13:33:51Z,2023-11-01,Swap,A004,A004,2000000000.0,USD,Constant,USD,OIS,A004,2000000000.0,USD,Constant,1.0,USD,False,False,XXXX,False,False,OIS USD broken,0.04784,1.0,DAIL,1.0,DAIL,USD,USD-Federal Funds-H.15-OIS-COMPOUND,COMPOUND,2.0,MNTH,DAIL,1.0,1.0,2000000000.0,232271.8050229549,112634104.02960443,204553.9186063856
