Tenor,Rate,Shifted,Discount
1M,4.0902,4.0802,0.9996714
3M,4.128,4.118,0.9899165
6M,4.1472,4.1372,0.9833049
9M,4.1254,4.1154,0.9734721
11M,4.0726,4.0626,0.9642068
14M,3.999,3.989,0.9555797
18M,3.9118,3.9018,0.947467
21M,3.832,3.822,0.939498
2Y,3.7191,3.7091,0.9293797
3Y,3.5261,3.5161,0.9010102
4Y,3.4277,3.4177,0.8738188
5Y,3.3883,3.3783,0.8466323
6Y,3.3765,3.3665,0.8213437
7Y,3.3863,3.3763,0.7981437
8Y,3.4076,3.3976,0.776517
9Y,3.4367,3.4267,0.7580085
10Y,3.4719,3.4619,0.7416823
11Y,3.5055,3.4955,0.7264057
12Y,3.5371,3.5271,0.7122748
13Y,3.5634,3.5534,0.6995475
14Y,3.5799,3.5699,0.6883785
15Y,3.5863,3.5763,0.6790482
16Y,3.5836,3.5736,0.6699659
17Y,3.573,3.563,0.6615127
18Y,3.5582,3.5482,0.6541796
19Y,3.5268,3.5168,0.6474221
20Y,3.5002,3.4902,0.641815
25Y,3.3315,3.3215,0.6042535
30Y,3.1739,3.1639,0.5926611
40Y,2.9408,2.9308,0.3141084
50Y,2.7444,2.7344,0.2594684
