Event,Execution Timestamp,Dissemination Time,Cleared,Collateralization,End-User Exception,Bespoke,Block/Off facility,Execution Venue,UPI,Product,Contract Type,Effective Date,Maturity Date,Upfront Payment,Upfront Payment Currency,Upfront Payment Date,Settlement Currency,Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Designated Maturity,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Designated Maturity,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Embedded Option,Option Strike Price,Option Type,Option Family,Option Currency,Option Premium,Option Lockout Period,Option Expiration Date,Asset Class,Rpt ID,Prev Rpt ID,Future Value Notional,Contract Subtype,Leg1 Return Type,Leg2 Return Type,Vega Notional Amount,Leg1 Fixed Payment,Leg1 Fixed Payment currency,Leg2 Fixed Payment,Leg2 Fixed Payment currency,Leg1 Underlying Asset,Leg2 Underlying Asset,Settlement date,Submission event,action,amendmentIndicator,assetClass,blockTradeIndicator,cleared,customBasketIndicator,deliveryType,disseminationIdentifier,disseminationTimestamp,effectiveDate,embeddedOptionType,event,eventDateTime,executionDateTime,expirationDate,firstExerciseDate,instrumentType,leg1CallAmount,leg1CallCurrency,leg1EffectiveNotionalAmount,leg1FixedRateDayCount,leg1FloatingRateDayCount,leg1NotionalAmount,leg1NotionalCurrency,leg1NotionalEffectiveDate,leg1NotionalEndDate,leg1NotionalScheduleType,leg1PutAmount,leg1PutCurrency,leg1ResetFrequencyMultiplier,leg1SettlementCurrency,leg1SettlementLocation,leg1UnderlyingAssetOrContractType,leg2CallAmount,leg2CallCurrency,leg2EffectiveNotionalAmount,leg2FixedRateDayCount,leg2FloatingRateDayCount,leg2NotionalAmount,leg2NotionalCurrency,leg2NotionalEffectiveDate,leg2NotionalEndDate,leg2NotionalScheduleType,leg2PutAmount,leg2PutCurrency,leg2ResetFrequencyMultiplier,leg2SettlementCurrency,leg2SettlementLocation,leg2UnderlyingAssetOrContractType,nonStandardTermIndicator,optionExerciseFrequencyMultiplier,optionExerciseFrequencyPeriod,optionPremiumAmount,optionPremiumCurrency,optionStrikePrice,optionStrikePriceCurrency,optionStrikePriceNotation,optionStyle,optionType,originalDisseminationIdentifier,otherPaymentAmount,otherPaymentCurrency,otherPaymentType,packageIndicator,packageTransactionPrice,packageTransactionPriceCurrency,packageTransactionPriceNotation,packageTransactionSpread,packageTransactionSpreadCurrency,packageTransactionSpreadNotation,platformID,postPricedSwapIndicator,primeBrokerageTransactionIndicator,productCode,productCodeType,productName,returnTriggerType,sDRreceiptTimestamp,underlierExpirationDate,leg1FixedRatePaymentFrequencyMultiplier,leg1FixedRatePaymentFrequencyPeriod,leg1FloatingRatePaymentFrequencyMultiplier,leg1FloatingRatePaymentFrequencyPeriod,leg1QuantityUnit,leg1Spread,leg1SpreadCurrency,leg1SpreadNotation,leg1TotalNotionalQuantity,leg1UnderlierCurrency,leg1UnderlierID,leg1UnderlierIDSource,leg1UnderlierTenorMultiplier,leg1UnderlierTenorPeriod,leg2FixedRatePaymentFrequencyMultiplier,leg2FixedRatePaymentFrequencyPeriod,leg2FloatingRatePaymentFrequencyMultiplier,leg2FloatingRatePaymentFrequencyPeriod,leg2QuantityUnit,leg2Spread,leg2SpreadCurrency,leg2SpreadNotation,leg2TotalNotionalQuantity,leg2UnderlierCurrency,leg2UnderlierID,leg2UnderlierIDSource,leg2UnderlierTenorMultiplier,leg2UnderlierTenorPeriod,price,priceCurrency,priceNotation,priceUnit,leg1ResetFrequencyPeriod,leg2ResetFrequencyPeriod,optionExerciseEndDate
RT+PET,07/23/2020 17:11:56,07/23/2020 17:41:56,Uncleared,Partially Collateralized,End-user,N,Y,Off Facility Swap,,SingleUnderlying:TotalReturn,EquitySwap,11/20/2019,11/25/2020,0,,,USD,Equity,0,,1.025Y,0,,8000000,EUR,1M,,Float,0,OBFR01,1.025Y,0,,8000000,USD,1M,1D,N,0,,,,0,,,Equity,EQUITY11861690,,,,Total,,0.000000000000000,0,,0,,,,11/25/2020,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT+PET,07/23/2020 17:11:56,07/23/2020 17:41:56,Uncleared,Partially Collateralized,End-user,N,Y,Off Facility Swap,,SingleUnderlying:TotalReturn,EquitySwap,11/20/2019,11/25/2020,0,,,USD,Equity,0,,1.025Y,0,,8000000,EUR,1M,,Float,0,OBFR01,1.025Y,0,,8000000,USD,1M,1D,N,0,,,,0,,,Equity,EQUITY11861691,,,,Total,,0.000000000000000,0,,0,,,,11/25/2020,Void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,EquitySwap,01/01/2019,01/01/2019,0,,,USD,Fixed,0.04,,0.3444Y,0,ABCD,2500,USD,WK,,Fixed,0.5,,0.0Y,0.01,10,3400,USD,WK,,N,0,,,,0,,,Equity,EQUITY11861692,,,,,,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,PortfolioSwap,01/01/2019,01/01/2019,0,,,USD,Fixed,0.04,,0.3444Y,0,ABCD,2500,USD,WK,,Fixed,0.5,,0.0Y,0.01,10,3400,USD,WK,,N,0,,,,0,,,Equity,EQUITY11861693,,,,,,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,DividendSwap,01/01/2019,01/01/2019,0,,,USD,Fixed,0,,0.3444Y,0,,0,,WK,,Fixed,0,,0.0Y,0.01,,0,,WK,,N,0,,,,0,,,Equity,EQUITY11861694,,,,,,0.000000000000000,1234,USD,1234,USD,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,EquitySwap,01/01/2019,01/01/2019,0,,,USD,Float,0,ABCD,0.3444Y,0,ABCD,2500,USD,WK,XYZ,Float,0,DEFG,0.0Y,0.01,10,3400,USD,WK,PQRS,N,0,,,,0,,,Equity,EQUITY11861695,,,,,,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT+PET,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,PortfolioSwap,01/01/2019,01/01/2019,0,,,USD,Float,0,ABCD,0.3444Y,0,ABCD,2500,USD,WK,XYZ,Float,0,DEFG,0.0Y,0.01,10,3400,USD,WK,PQRS,N,0,,,,0,,,Equity,EQUITY11861696,,,,,,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT+PET,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,DividendSwap,01/01/2019,01/01/2019,0,,,USD,Float,0,,0.3444Y,0,,0,,WK,,Float,0,,0.0Y,0.01,,0,,WK,,N,0,,,,0,,,Equity,EQUITY11861697,,,,,,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT+PET,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,EquitySwap,01/01/2019,01/01/2019,0,,,USD,Equity,0,,0.3444Y,0,,2500,USD,WK,,Equity,0,,0.0Y,0.01,,3400,USD,WK,,N,0,,,,0,,,Equity,EQUITY11861698,,,,Total,Total,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,03/18/2019 21:34:56,03/18/2019 21:49:56,Cleared,,,Y,Y,Registered Market - SEF,testing,testproduct,PortfolioSwap,01/01/2019,01/01/2019,0,,,USD,Equity,0,,0.3444Y,0,,2500,USD,WK,,Equity,0,,0.0Y,0.01,,3400,USD,WK,,N,0,,,,0,,,Equity,EQUITY11861699,,,,Total,Total,0.000000000000000,0,,0,,,TEST1,01/01/2019,New Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
